,Argument ID,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity,Conclusion,Stance,Premise,Cleaned_Premise,Cleaned_Conclusion,Cleaned_BOW,Cosine_Similarity_Self-direction: thought,Cosine_Similarity_Self-direction: action,Cosine_Similarity_Stimulation,Cosine_Similarity_Hedonism,Cosine_Similarity_Achievement,Cosine_Similarity_Power: dominance,Cosine_Similarity_Power: resources,Cosine_Similarity_Face,Cosine_Similarity_Security: personal,Cosine_Similarity_Security: societal,Cosine_Similarity_Tradition,Cosine_Similarity_Conformity: rules,Cosine_Similarity_Conformity: interpersonal,Cosine_Similarity_Humility,Cosine_Similarity_Benevolence: caring,Cosine_Similarity_Benevolence: dependability,Cosine_Similarity_Universalism: concern,Cosine_Similarity_Universalism: nature,Cosine_Similarity_Universalism: tolerance,Cosine_Similarity_Universalism: objectivity
10,A01011,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,We should abolish the three-strikes laws,in favor of,three strike laws can cause young people to be put away for life without a chance to straight out their life,"['three', 'strike', 'law', 'cause', 'young', 'people', 'put', 'away', 'life', 'without', 'chance', 'straight', 'life']","['abolish', 'threestrikes', 'law']",three strike laws can cause young people to be put away for life without a chance to straight out their life We should abolish the three-strikes laws in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
11,A01012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,The use of public defenders should be mandatory,in favor of,the use of public defenders should be mandatory because some people don't have money for a lawyer and this would help those that don't,"['use', 'public', 'defender', 'mandatory', 'people', 'dont', 'money', 'lawyer', 'would', 'help', 'dont']","['use', 'public', 'defender', 'mandatory']",the use of public defenders should be mandatory because some people don't have money for a lawyer and this would help those that don't The use of public defenders should be mandatory in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
12,A01013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,We should ban naturopathy,in favor of,"Naturopathic medicine doesn't have to pass any safety trials, so it can often be dangerous and cause allergic reactions.","['naturopathic', 'medicine', 'doesnt', 'pas', 'safety', 'trial', 'often', 'dangerous', 'cause', 'allergic', 'reaction']","['ban', 'naturopathy']","Naturopathic medicine doesn't have to pass any safety trials, so it can often be dangerous and cause allergic reactions. We should ban naturopathy in favor of",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
13,A01014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,We should adopt an austerity regime,against,adopting austerity regime will have very negative impact on the poor and the vulnerable in society.,"['adopting', 'austerity', 'regime', 'negative', 'impact', 'poor', 'vulnerable', 'society']","['adopt', 'austerity', 'regime']",adopting austerity regime will have very negative impact on the poor and the vulnerable in society. We should adopt an austerity regime against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
14,A01015,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,We should adopt an austerity regime,in favor of,we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up,"['adopt', 'austerity', 'regime', 'unfair', 'expect', 'future', 'generation', 'settle', 'debt', 'run']","['adopt', 'austerity', 'regime']",we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up We should adopt an austerity regime in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
15,A01016,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,We should adopt gender-neutral language,against,"gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words.","['gender', 'neutral', 'language', 'another', 'way', 'try', 'please', 'group', 'two', 'sex', 'men', 'woman', 'differentiate', 'use', 'word']","['adopt', 'genderneutral', 'language']","gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words. We should adopt gender-neutral language against",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
16,A01017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,We should end affirmative action,in favor of,affirmative action is no longer necessary as more minorities are able to prove to employers that they are worthy workers.,"['affirmative', 'action', 'longer', 'necessary', 'minority', 'able', 'prove', 'employer', 'worthy', 'worker']","['end', 'affirmative', 'action']",affirmative action is no longer necessary as more minorities are able to prove to employers that they are worthy workers. We should end affirmative action in favor of,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
17,A01018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,We should end the use of economic sanctions,against,economic sanctions provide a non-military sanction to use against countries.,"['economic', 'sanction', 'provide', 'nonmilitary', 'sanction', 'use', 'country']","['end', 'use', 'economic', 'sanction']",economic sanctions provide a non-military sanction to use against countries. We should end the use of economic sanctions against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
18,A01019,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,We should ban factory farming,in favor of,"factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products.","['factory', 'farming', 'cut', 'many', 'health', 'safety', 'corner', 'opposed', 'smaller', 'family', 'farm', 'lead', 'potentially', 'unsafe', 'unhealthy', 'product']","['ban', 'factory', 'farming']","factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products. We should ban factory farming in favor of",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
19,A01020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We should subsidize journalism,in favor of,"It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization.","['important', 'news', 'organization', 'transfer', 'new', 'form', 'medium', 'like', 'internet', 'costly', 'requires', 'subsidization']","['subsidize', 'journalism']","It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization. We should subsidize journalism in favor of",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20,A02001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Payday loans should be banned,in favor of,payday loans create a more impoverished society with their crazy payback rates.,"['payday', 'loan', 'create', 'impoverished', 'society', 'crazy', 'payback', 'rate']","['payday', 'loan', 'banned']",payday loans create a more impoverished society with their crazy payback rates. Payday loans should be banned in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
21,A02002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Surrogacy should be banned,against,Surrogacy should not be banned as it is the woman's right to choose if she wishes to do this for another couple and be compensated.,"['surrogacy', 'banned', 'woman', 'right', 'choose', 'wish', 'another', 'couple', 'compensated']","['surrogacy', 'banned']",Surrogacy should not be banned as it is the woman's right to choose if she wishes to do this for another couple and be compensated. Surrogacy should be banned against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
22,A02003,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,We should cancel pride parades,against,there are parades for every group and it is discrimination not to give gays their parade,"['parade', 'every', 'group', 'discrimination', 'give', 'gay', 'parade']","['cancel', 'pride', 'parade']",there are parades for every group and it is discrimination not to give gays their parade We should cancel pride parades against,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
23,A02004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,We should ban cosmetic surgery for minors,in favor of,children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child.,"['child', 'grown', 'truly', 'formed', 'adult', 'look', 'cosmetic', 'surgery', 'child', 'banned', 'adult', 'child', 'make', 'informed', 'choice', 'body', 'whim', 'child']","['ban', 'cosmetic', 'surgery', 'minor']",children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child. We should ban cosmetic surgery for minors in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
24,A02005,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,We should legalize prostitution,in favor of,we should legalize prostitution because it will be regulated meaning the females will be safer,"['legalize', 'prostitution', 'regulated', 'meaning', 'female', 'safer']","['legalize', 'prostitution']",we should legalize prostitution because it will be regulated meaning the females will be safer We should legalize prostitution in favor of,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
25,A02006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,We should subsidize embryonic stem cell research,in favor of,embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.,"['embryonic', 'stem', 'cell', 'research', 'subsidized', 'may', 'lead', 'development', 'treatment', 'number', 'serious', 'medical', 'condition']","['subsidize', 'embryonic', 'stem', 'cell', 'research']",embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions. We should subsidize embryonic stem cell research in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
26,A02007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,We should ban algorithmic trading,in favor of,algorithms may not be 100% accurate and reflect the situation in the real market,"['algorithm', 'may', 'accurate', 'reflect', 'situation', 'real', 'market']","['ban', 'algorithmic', 'trading']",algorithms may not be 100% accurate and reflect the situation in the real market We should ban algorithmic trading in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
27,A02008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,We should legalize organ trade,in favor of,"We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times.","['legalize', 'organ', 'trade', 'currently', 'people', 'punished', 'obeying', 'law', 'purchasing', 'organ', 'form', 'longer', 'wait', 'time']","['legalize', 'organ', 'trade']","We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times. We should legalize organ trade in favor of",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
28,A02009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,Entrapment should be legalized,against,entrapment is gravely immoral and against human rights to coerce someone into a crime,"['entrapment', 'gravely', 'immoral', 'human', 'right', 'coerce', 'someone', 'crime']","['entrapment', 'legalized']",entrapment is gravely immoral and against human rights to coerce someone into a crime Entrapment should be legalized against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
29,A02010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,We should legalize cannabis,against,if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs.,"['start', 'legalizing', 'drug', 'could', 'open', 'floodgate', 'legalization', 'dangerous', 'drug']","['legalize', 'cannabis']",if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs. We should legalize cannabis against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
30,A02011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,We should fight for the abolition of nuclear weapons,in favor of,nuclear weapons pose too serious a threat to our world.  we must abolish them now.,"['nuclear', 'weapon', 'pose', 'serious', 'threat', 'world', 'must', 'abolish']","['fight', 'abolition', 'nuclear', 'weapon']",nuclear weapons pose too serious a threat to our world.  we must abolish them now. We should fight for the abolition of nuclear weapons in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
31,A02012,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,We should ban telemarketing,in favor of,telemarketing doesn't differentiate between people who are interested in being called and those who aren't,"['telemarketing', 'doesnt', 'differentiate', 'people', 'interested', 'called', 'arent']","['ban', 'telemarketing']",telemarketing doesn't differentiate between people who are interested in being called and those who aren't We should ban telemarketing in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
32,A02013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,We should prohibit school prayer,in favor of,school prayer cannot account for the array of beliefs or non-beliefs students may hold.,"['school', 'prayer', 'cannot', 'account', 'array', 'belief', 'nonbeliefs', 'student', 'may', 'hold']","['prohibit', 'school', 'prayer']",school prayer cannot account for the array of beliefs or non-beliefs students may hold. We should prohibit school prayer in favor of,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
33,A02014,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,We should abolish the right to keep and bear arms,against,we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution.,"['abolish', 'right', 'keep', 'bear', 'arm', 'everyone', 'right', 'keep', 'gun', 'mean', 'protection', 'stated', 'constitution']","['abolish', 'right', 'keep', 'bear', 'arm']",we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution. We should abolish the right to keep and bear arms against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
34,A02015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We should ban the Church of Scientology,in favor of,they are nothing but a cult and manipulate their members,"['nothing', 'cult', 'manipulate', 'member']","['ban', 'church', 'scientology']",they are nothing but a cult and manipulate their members We should ban the Church of Scientology in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
35,A02016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,We should legalize organ trade,in favor of,we need more organs than people donate so legalizing it would be a good thing,"['need', 'organ', 'people', 'donate', 'legalizing', 'would', 'good', 'thing']","['legalize', 'organ', 'trade']",we need more organs than people donate so legalizing it would be a good thing We should legalize organ trade in favor of,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
36,A02017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,We should legalize polygamy,against,polygamy  can lead to disharmony and jealousy within a household and the offspring of the arrangement can grow up very confused and maladjusted.,"['polygamy', 'lead', 'disharmony', 'jealousy', 'within', 'household', 'offspring', 'arrangement', 'grow', 'confused', 'maladjusted']","['legalize', 'polygamy']",polygamy  can lead to disharmony and jealousy within a household and the offspring of the arrangement can grow up very confused and maladjusted. We should legalize polygamy against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
37,A02018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Intelligence tests bring more harm than good,against,intelligence tests should continue to be used because they provide valuable data,"['intelligence', 'test', 'continue', 'used', 'provide', 'valuable', 'data']","['intelligence', 'test', 'bring', 'harm', 'good']",intelligence tests should continue to be used because they provide valuable data Intelligence tests bring more harm than good against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
38,A02019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,We should prohibit school prayer,in favor of,"School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age.","['school', 'prayer', 'divisive', 'requires', 'child', 'either', 'support', 'religion', 'without', 'question', 'treated', 'different', 'wish', 'attend', 'mark', 'people', 'difference', 'early', 'age']","['prohibit', 'school', 'prayer']","School prayer is divisive and requires children to either support religion without question or be treated as different if they do not wish to attend, which marks people out by their differences at an early age. We should prohibit school prayer in favor of",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
39,A02020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,We should subsidize Wikipedia,against,wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized,"['wikipedia', 'form', 'biased', 'opinion', 'topic', 'misinform', 'general', 'public', 'therefore', 'subsidized']","['subsidize', 'wikipedia']",wikipedia can form biased opinions on topics or misinform the general public and therefore should not be subsidized We should subsidize Wikipedia against,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
40,A03001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,We should introduce compulsory voting,in favor of,"where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy.","['compulsory', 'voting', 'exists', 'country', 'like', 'australia', 'participation', 'rate', 'highest', 'world', 'inevitably', 'lead', 'truly', 'representative', 'democracy']","['introduce', 'compulsory', 'voting']","where compulsory voting exists, in countries like australia, participation rates are the highest in the world. this inevitably leads to more truly representative democracy. We should introduce compulsory voting in favor of",0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
41,A03002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,We should legalize prostitution,against,legalizing prostitution will further demean a woman or man and result in unnecessary violence.,"['legalizing', 'prostitution', 'demean', 'woman', 'man', 'result', 'unnecessary', 'violence']","['legalize', 'prostitution']",legalizing prostitution will further demean a woman or man and result in unnecessary violence. We should legalize prostitution against,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
